#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,,North America,,"103,258,063","+1,688","1,479,802",+11,"97,104,243","+4,032","4,674,018","8,172",,,,,,North America,,,,,,,
,,Asia,,"159,048,701","+123,013","1,435,349",+164,"153,097,659","+168,548","4,515,693","10,565",,,,,,Asia,,,,,,,
,,South America,,"58,506,075",+396,"1,301,112",,"55,484,654",+497,"1,720,309","10,530",,,,,,South America,,,,,,,
,,Europe,,"198,869,376","+5,594","1,848,000",+87,"190,495,118","+78,092","6,526,258","5,764",,,,,,Europe,,,,,,,
,,Oceania,,"9,227,492","+31,944","13,090",+50,"8,873,559","+5,882","340,843",135,,,,,,Australia/Oceania,,,,,,,
,,Africa,,"12,207,688",,"255,338",,"11,414,180",,"538,170",988,,,,,,Africa,,,,,,,
,,,,721,,15,,706,,0,0,,,,,,,,,,,,,
,World,"541,118,116","+162,635","6,332,706",+312,"516,470,119","+257,051","18,315,291","36,154","69,420",812.4,,,,All,,,,,,,
67,Uruguay,"943,877",,"7,290 ",,"928,373",,"8,214",18,"269,900","2,085","6,114,822","1,748,523","3,497,135 ",South America,44801,,,"2,349"
68,Mongolia,"926,282",,"2,179 ",,N/A,N/A,N/A,192,"273,972",644,"4,030,048","1,191,994","3,380,931 ",Asia,"41,5521",,,"180,674"
69,UAE,"920,171","+1,356","2,305 ",,"901,424","+1,066","16,442",,"90,901",228,"165,564,224","16,355,668","10,122,743 ",Asia,"114,3920",134,,"1,624"
70,Bolivia,"912,869",+396,"21,951 ",,"876,070",+525,"14,848",220,"76,183","1,832","2,705,422","225,779","11,982,608 ",South America,135464,33,,"1,239"
71,Costa Rica,"904,934",,"8,525 ",,"860,711",,"35,698",52,"174,544","1,644","4,659,757","898,775","5,184,562 ",North America,66081,,,"6,885"
72,Panama,"892,455",,"8,307 ",,"862,527",,"21,621",16,"200,695","1,868","6,416,881","1,443,026","4,446,824 ",North America,55351,,,"4,862"
73,Ecuador,"890,852",,"35,659 ",,N/A,N/A,N/A,759,"49,045","1,963","2,470,170","135,993","18,163,935 ",South America,205097,,,"22,644"
74,Guatemala,"871,263",,"18,293 ",,"845,301",,"7,669",5,"46,943",986,"4,756,204","256,263","18,559,873 ",North America,"211,0154",,,413
75,Latvia,"830,698",,"5,839 ",,"822,583",,"2,276",6,"450,077","3,164","7,288,563","3,948,985","1,845,680 ",Europe,23160,,,"1,233"
76,Azerbaijan,"792,847",,"9,714 ",,"783,019",,114,,"76,850",942,"6,901,005","668,905","10,316,866 ",Asia,"131,0621",,,11
